neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,days_since_last_review,log_price
Queens,Woodside,Private room,95.0,30,285,1.72,2,365,0,2056.0,4.564348
Manhattan,East Village,Entire home/apt,212.0,30,36,0.22,1,364,0,699.0,5.3612924
Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,71.0,30,131,0.79,1,151,0,1849.0,4.276666
Manhattan,Inwood,Entire home/apt,81.0,30,22,0.18,1,182,1,19.0,4.406719
Manhattan,Upper East Side,Entire home/apt,119.0,30,1,0.01,1,252,0,3989.0,4.787492
Brooklyn,Williamsburg,Entire home/apt,427.0,180,2,0.01,1,365,0,4493.0,6.059123
Brooklyn,Prospect Heights,Private room,630.0,30,185,1.12,1,365,0,615.0,6.4473057
Brooklyn,Bedford-Stuyvesant,Entire home/apt,1583.0,2,256,1.57,1,231,29,7.0,7.3677087
Manhattan,Harlem,Private room,79.0,30,144,1.21,2,335,2,235.0,4.3820267
Brooklyn,Carroll Gardens,Entire home/apt,290.0,30,134,0.81,1,301,3,160.0,5.673323
Manhattan,Little Italy,Private room,88.0,30,59,0.38,1,32,3,85.0,4.4886365
Manhattan,West Village,Entire home/apt,200.0,90,116,0.71,1,210,2,210.0,5.303305
Brooklyn,Greenpoint,Entire home/apt,400.0,1,49,0.3,29,121,0,1002.0,5.9939613
Brooklyn,Greenpoint,Entire home/apt,480.0,1,92,0.59,29,120,3,33.0,6.175867
Brooklyn,Greenpoint,Entire home/apt,400.0,1,191,1.19,29,112,14,36.0,5.9939613
Brooklyn,Greenpoint,Entire home/apt,400.0,1,161,1.02,29,120,4,212.0,5.9939613
Brooklyn,Greenpoint,Entire home/apt,400.0,1,46,0.29,29,121,0,413.0,5.9939613
Manhattan,Upper West Side,Entire home/apt,250.0,30,63,0.42,1,141,5,119.0,5.525453
Brooklyn,Bedford-Stuyvesant,Private room,50.0,30,51,0.32,4,247,4,84.0,3.9318256
Brooklyn,East New York,Entire home/apt,88.0,30,154,0.96,2,347,1,34.0,4.4886365
Manhattan,Harlem,Private room,60.0,30,58,0.36,1,302,1,51.0,4.1108737
Brooklyn,Crown Heights,Private room,82.0,30,130,0.83,3,89,0,398.0,4.4188404
Brooklyn,Bedford-Stuyvesant,Private room,90.0,30,58,0.42,22,335,1,348.0,4.5108595
Manhattan,Harlem,Entire home/apt,296.0,30,8,0.05,2,61,1,363.0,5.6937323
Brooklyn,Williamsburg,Entire home/apt,283.0,30,34,0.23,1,301,0,2553.0,5.6489744
Queens,Astoria,Private room,65.0,365,22,0.14,1,326,0,3319.0,4.189655
Brooklyn,Gravesend,Private room,141.0,30,111,0.74,2,365,0,701.0,4.955827
Manhattan,SoHo,Entire home/apt,180.0,30,24,0.15,1,213,0,576.0,5.198497
Manhattan,Harlem,Entire home/apt,95.0,30,59,0.39,1,349,1,349.0,4.564348
Manhattan,Nolita,Private room,98.0,31,156,1.04,2,365,0,1008.0,4.59512
Queens,Sunnyside,Private room,60.0,30,29,0.2,1,352,1,36.0,4.1108737
Brooklyn,Bedford-Stuyvesant,Private room,120.0,30,20,0.15,2,177,0,1008.0,4.7957907
